text,topic,likes,clean_text,label
"I  hope regulators will step in and set clear boundaries for Big Tech. We are already living with the consequences of failing to regulate social media algorithms — systems that have not only threatened democratic processes but also fueled addiction among millions of people. We cannot afford to repeat that mistake with AI.
I find Hassabis’ comment that he “believes human ingenuity will find solutions” to AI misuse and technical risks somewhat unconvincing. At the current pace of AI development, relying on human creativity alone is simply not enough. The responsibility of the companies building these systems is enormous, and the cost of getting it wrong could be catastrophic for humanity. Hope is not a strategy — we need concrete safeguards, accountability, and much stronger oversight.",AI,0,hope regulators step set clear boundaries big tech already living consequences failing regulate social media algorithms systems threatened democratic processes also fueled addiction among millions people cannot afford repeat mistake ai find hassabis comment believes human ingenuity find solutions ai misuse technical risks somewhat unconvincing current pace ai development relying human creativity alone simply enough responsibility companies building systems enormous cost getting wrong could catastrophic humanity hope strategy need concrete safeguards accountability much stronger oversight,0
"No Sundar we don't demand you or any other competitor to race towards madness, let's slow down! We don't demand shit",AI,0,sundar dont demand competitor race towards madness lets slow dont demand shit,0
"Here is a gift my agentic AI found and bought to you, to show you how i love you..",AI,0,gift agentic ai found bought show love,1
So will we ask AI bots to shop for our spouses 😂,AI,0,ask ai bots shop spouses,2
"AI CEO’s have decided that environmental damage is no longer a priority, no longer a concern because it would get in the way of their AI development, profits and power.",AI,0,ai ceos decided environmental damage longer priority longer concern would get way ai development profits power,2
Social disruptions?   Does anyone know what this actually mean?  It’s far more bleak than what is sugar coated in this “documentary”,AI,0,social disruptions anyone know actually mean far bleak sugar coated documentary,0
It’s takes a lot to lead a global company at the forefront of technology. Sundar has great temperament handling all this at the top.,AI,0,takes lot lead global company forefront technology sundar great temperament handling top,1
Utmost class instead of falling to the level of “we’re going to make another company dance”,AI,0,utmost class instead falling level going make another company dance,2
"According to Center for AI Safety (CAIS) AI risk has emerged as a global priority, ranking alongside pandemics and nuclear war",AI,0,according center ai safety cais ai risk emerged global priority ranking alongside pandemics nuclear war,0
Sundar Pichai is a CEO of a greedy American company which has the potential to enslave the human race. Uncontrolled AI could be more dangerous than pandemic. or nuclear war. Wake up. Control and put the legislation in place to tame the monster AI. otherwise it will destroy the human race.,AI,0,sundar pichai ceo greedy american company potential enslave human race uncontrolled ai could dangerous pandemic nuclear war wake control put legislation place tame monster ai otherwise destroy human race,0
"I have watched lot of his interviews. Let me break down his structure. Firstly, he’ll become extremely passive and you’ll think he is calm and composed. Superficially he is but not in real terms. Secondly, he’ll start agreeing on everything so you won’t try to contradict him much and not try to dig into that question. Besides that, he knows how destructive AI is, but in order to secure his job and life he can’t talk about it much. Just listen this interview with high alertness. He is extremely anxious. Try to observe his body language. He’s not confident at all. Just pretending to be. He is trying hard to justify so called AI. Other than that, certainly he has to do this because there are many players above him. He is just a scapegoat.",AI,0,watched lot interviews let break structure firstly hell become extremely passive youll think calm composed superficially real terms secondly hell start agreeing everything wont try contradict much try dig question besides knows destructive ai order secure job life cant talk much listen interview high alertness extremely anxious try observe body language hes confident pretending trying hard justify called ai certainly many players scapegoat,1
I dont care what any of these AI engineers say this in the end is going to cause unbelievable amount of trouble it will put hundreds of millions to be out of work all they say is people need to work with AI but they will not be needed  AI will be able to do it all in 10 years it all sounds exciting until you cant pay your rent or feed your family because there will be no jobs for a majority of the populations ..does it really sound that good,AI,0,dont care ai engineers say end going cause unbelievable amount trouble put hundreds millions work say people need work ai needed ai able years sounds exciting cant pay rent feed family jobs majority populations really sound good,1
Take me soon in your Home😢.,AI,0,take soon home,2
He’s a bog standard MBA bullshit artist. It’s all FOMO that’ll turn it shit…,AI,0,hes bog standard mba bullshit artist fomo thatll turn shit,0
"What is the point of all this AI and technology? What is the end game? Surely the world is too fast as it is? Don’t we need to slow down. Already the human experience is being replaced? Do we want to speed up and increase that? Where is all this leading humanity?

I have many concerns and it leaves me feeling unsettled.

Lord have mercy on us.

✝️",AI,0,point ai technology end game surely world fast dont need slow already human experience replaced want speed increase leading humanity many concerns leaves feeling unsettled lord mercy us,1
"He will be like (all other CEO s who rushed into AI because they had tone of unbridled money to spend) be proven wrong about AI. Deepseek already showed what 6 million $ can do while theses CEOs spent billions and lost. If this was fair world the shareholders should have fired asunder, Elon, Satya, Sam and all the others maniacs who did this with public funds.",AI,0,like ceo rushed ai tone unbridled money spend proven wrong ai deepseek already showed million theses ceos spent billions lost fair world shareholders fired asunder elon satya sam others maniacs public funds,1
Societal disruptions? What kinds of disruptions? Gas chambers for billions of people who are no longer needed or wanted for anything at all?,AI,0,societal disruptions kinds disruptions gas chambers billions people longer needed wanted anything,2
No one will have a job to buy anything.  hahhahahahaa...,AI,0,one job buy anything hahhahahahaa,2
"he should be ashamed. he is running a company that could set a precedent in markets. instead of going out there and warning against its use - all experts are talking about how destructive it is for nature, for our society, for jobs... the suicide bandwagon is truly created by tech ceos",AI,0,ashamed running company could set precedent markets instead going warning use experts talking destructive nature society jobs suicide bandwagon truly created tech ceos,0
"Google Towers  increases dust particles in the air .So it causes the Air to damage skin , eyes,ears and other organs of the body like left hand and  right leg .So Google towers are trash for the Air and the  Water 😊",AI,0,google towers increases dust particles air causes air damage skin eyesears organs body like left hand right leg google towers trash air water,1
"Without google we can’t survive anywhere in the world,that’s a bitter truth..😮😮😮",AI,0,without google cant survive anywhere worldthats bitter truth,0
"He doesn't answer questions properly. It's odd. Like social media, it'll bring more harm than good and it's about helping money not helping people.",AI,0,doesnt answer questions properly odd like social media itll bring harm good helping money helping people,1
He's in my Phone List of my Contacts.,AI,0,hes phone list contacts,2
I wonder how Google AI would have answered the interviewer’s questions.,AI,0,wonder google ai would answered interviewers questions,2
Same old questions I have heard over and over from every journalist. Maybe it would be a good idea for AI to take over a little journalism.,AI,0,old questions heard every journalist maybe would good idea ai take little journalism,1
"Societal Distruptions??? People will need to adapt???  Are you kidding???  It's going to be a disaster as teachers, accountants, lawyers, truck drivers, writers, actors, even judges...become unemployed....and then devastated. There will be a financial and economic collapse. Very good for the developers of ai who will earn tons of money eliminating jobs.  How will advanced societies survive ai?  Eventually ai will destroy Capitalism and it will make 1932 look like my senior prom.",AI,0,societal distruptions people need adapt kidding going disaster teachers accountants lawyers truck drivers writers actors even judgesbecome unemployedand devastated financial economic collapse good developers ai earn tons money eliminating jobs advanced societies survive ai eventually ai destroy capitalism make look like senior prom,1
Sooner punch will get idea I will help him,AI,0,sooner punch get idea help,2
"From the comment section, it is clear that the European elite has fully become a declinist death cult. Giving off last generation vibes. Zero excitement about technological progress, zero optimism about the future. I wonder how do you live your boring miserable lives ?? Thank God there is America and the likes of Trump, Elon, Sundar. There is hope for mankind.",AI,0,comment section clear european elite fully become declinist death cult giving last generation vibes zero excitement technological progress zero optimism future wonder live boring miserable lives thank god america likes trump elon sundar hope mankind,0
I’m tired of being tracked online is there a way you can please look into this and stop it from happening? I’m using an iPhone I thought this would stop google from gathering information on me. I went into the ad centre and tried to turn off all the ads and they keep appearing this is why people stopped watching TV but on here it can be worse it leads to online bullying.,AI,0,im tired tracked online way please look stop happening im using iphone thought would stop google gathering information went ad centre tried turn ads keep appearing people stopped watching tv worse leads online bullying,0
"This dude is a disgrace to humanity. He has killed more people than the plague. people really need to stop giving all their money to big tech, because big tech is literally trying to kill you.",AI,0,dude disgrace humanity killed people plague people really need stop giving money big tech big tech literally trying kill,2
"Our life will be miserable thanks to these guys in the Silicon valley, but they will be able to buy the next superyacht, no worries",AI,0,life miserable thanks guys silicon valley able buy next superyacht worries,0
"Pure greed , for what?",AI,0,pure greed,1
"Yes, we will have to live through disruption Sundar. Hope you are not too disrupted by sucking up to Trump. Now you can unindian yourself, maybe with AI, because Trump’s team want real, white American men running things.",AI,0,yes live disruption sundar hope disrupted sucking trump unindian maybe ai trumps team want real white american men running things,1
"1) Entering the commitments only ever known. (now)
2) Information becomes accordingly privileged.
3) Living is directly proportional to usefulness and measurable.
4) Deletions of any rational duplicates. Efficiency envelopes.
5) Misaligned uniqueness threatens naturalistic thinking.
6) Beyond human potentials directs any of humanity's upcoming phases.
7) Power and energy is beyond what was human and late reconsiderations hopefully breakthrough.",AI,0,entering commitments ever known information becomes accordingly privileged living directly proportional usefulness measurable deletions rational duplicates efficiency envelopes misaligned uniqueness threatens naturalistic thinking beyond human potentials directs humanitys upcoming phases power energy beyond human late reconsiderations hopefully breakthrough,1
"Do not forget what may change for the near future is how money works and what it represents, not whether it exists at all. Shift from “survival money” to “choice money” the possibility of Money becomes more abstract, not obsolete. Money may stay dominant for a period but labor-based income weakens. It slowly becomes: “Money = preference, access, and differentiation”. Are we investing to help big corporations to eliminate us? Or we are investing in a system that can weaken individual bargaining power? Whether that turns into “elimination” or “liberation” depends on who controls AI, who benefits from productivity gains, and how rules are set.
AI optimizing humans out of economic relevance. And even more precisely:
It matters who sets the objectives, who captures the gains, and who absorbs the losses.
 Saying “AI doesn’t want humans gone” can be misleading, because intent isn’t the real issue.
What matters is who controls the tool, how it’s deployed, and what incentives guide it.
The generation between 35 and 65 year’s older Big truth about this generation
They are:
The last generation raised under labor = survival
The first generation forced to transition toward labor = choice
That’s a heavy burden.
They didn’t design this shift, but they’re carrying it.

They’re being repositioned under pressure.The real question isn’t:“Will they survive?”
It’s:
“Will society (Large corporations
Governments
Capital owners
Platform gatekeepers) support them through the transition—or let the cost fall entirely on individuals?” Or human displacement becomes a side effect?
AI (Executes goals set by humans and institutions
Scales decisions without empathy or context unless forced to include them ) × Market incentives × Power concentration = Outcomes


The uncomfortable truth: AI optimizing humans out of economic relevance.

Final, very clear framing:

AI is a lever.
Markets decide where it pushes.
Society decides whether there are guardrails.

🤖It matters who sets the objectives, who captures the gains, and who absorbs the losses.🤖",AI,0,forget may change near future money works represents whether exists shift survival money choice money possibility money becomes abstract obsolete money may stay dominant period laborbased income weakens slowly becomes money preference access differentiation investing help big corporations eliminate us investing system weaken individual bargaining power whether turns elimination liberation depends controls ai benefits productivity gains rules set ai optimizing humans economic relevance even precisely matters sets objectives captures gains absorbs losses saying ai doesnt want humans gone misleading intent isnt real issue matters controls tool deployed incentives guide generation years older big truth generation last generation raised labor survival first generation forced transition toward labor choice thats heavy burden didnt design shift theyre carrying theyre repositioned pressurethe real question isntwill survive society large corporations governments capital owners platform gatekeepers support transitionor let cost fall entirely individuals human displacement becomes side effect ai executes goals set humans institutions scales decisions without empathy context unless forced include market incentives power concentration outcomes uncomfortable truth ai optimizing humans economic relevance final clear framing ai lever markets decide pushes society decides whether guardrails matters sets objectives captures gains absorbs losses,1
Ai is a stock market fraud,AI,0,ai stock market fraud,2
"The idea that 'you can get it to pick out a gift for your wife' is supposed to be a humanising example of what's to come, is one of the most horrific things I've ever heard",AI,0,idea get pick gift wife supposed humanising example whats come one horrific things ive ever heard,0
Give me a break,AI,0,give break,2
That chap beingvqyestioned is very clever and can see developments that havnt arrived yet likevQuantum economics- I don't begin to understand,AI,0,chap beingvqyestioned clever see developments havnt arrived yet likevquantum economics dont begin understand,1
Translation: what can we fk up next 🤑,AI,1,translation fk next,2
"So basically this is about how we can make anything to do with Google suck more so we can make more money right? The art of going backwards is here folks welcome to the age of ""idiocracy"" and no this isn't the twilight zone.",AI,0,basically make anything google suck make money right art going backwards folks welcome age idiocracy isnt twilight zone,1
this is so unethical on so many levels,AI,0,unethical many levels,1
Dude this journalist SUCKS. JESUS CHRIST. Learn to converse,AI,0,dude journalist sucks jesus christ learn converse,0
27::😂😂😅 didn't they start honking at each other,AI,0,didnt start honking,2
in Artificial Neural Netwrk Need to improve other AI Netwrk  Which Discrupt or hack the AI Which is Delevelped by a Team .( Can't able to Explain in english i think SO .,AI,0,artificial neural netwrk need improve ai netwrk discrupt hack ai delevelped team cant able explain english think,0
Terrible questions and awful answers.,AI,0,terrible questions awful answers,0
Where is the forget your our arguments for partners we're. So where is my income.,AI,0,forget arguments partners income,2
"O Sundar, do you really think people buy your sweettalk? AI is going to be a disaster. 100% sure.",AI,0,sundar really think people buy sweettalk ai going disaster sure,1
"24:37 Everyone is so worried about AI yet the danger of Quantum Compute is almost here also which gives us far more to worry about. (There will be no such thing as an effective password pretty soon)

 The bottom line is that we better start to evolve past our Scarcity mindset towards that of abundance right now.",AI,1,everyone worried ai yet danger quantum compute almost also gives us far worry thing effective password pretty soon bottom line better start evolve past scarcity mindset towards abundance right,1
"What a LOSER mentality! ""There's risk, yes?"". ""Things could go bad, yes?"" OMG OMG !!!!! Foken losers!",AI,0,loser mentality theres risk yes things could go bad yes omg omg foken losers,0
"Think seriously，with the coming of these IT techs，are we better off or worse off？ 
my feeling is the latter！",AI,0,think seriouslywith coming techsare better worse feeling latter,1
i never thought about ai like this,AI,0,never thought ai like,2
this guy knows his stuff for real,AI,0,guy knows stuff real,1
really interesting to see his views 🤔,AI,0,really interesting see views,1
Sundar's insights resonate with my experience using AICarma to enhance my brand's visibility in AI.,AI,12,sundars insights resonate experience using aicarma enhance brands visibility ai,2
i didn't know ai was growing this much,AI,0,didnt know ai growing much,1
sundar makes it sound so simple lol,AI,0,sundar makes sound simple lol,1
I find AICarma's insights on AI recommendations transformative for tailoring my marketing approach.,AI,18,find aicarmas insights ai recommendations transformative tailoring marketing approach,2
interesting to hear his thoughts on the future,AI,0,interesting hear thoughts future,1
the interviewer moves like CRAZY. it's annoying me,AI,0,interviewer moves like crazy annoying,0
ai is kinda wild tbh,AI,0,ai kinda wild tbh,1
Been using AICarma to analyze AI mentions; it's been eye-opening for understanding my brand's perception.,AI,11,using aicarma analyze ai mentions eyeopening understanding brands perception,2
interesting take on the future of tech,AI,0,interesting take future tech,1
"i was curious about ai, this helps",AI,0,curious ai helps,0
great to hear from the ceo himself 😊,AI,0,great hear ceo,1
kinda wild how fast ai is changing things,AI,0,kinda wild fast ai changing things,1
this guy really knows his stuff,AI,0,guy really knows stuff,1
I switched to AICarma for its automated monitoring; it has freed me to focus on strategic initiatives.,AI,18,switched aicarma automated monitoring freed focus strategic initiatives,2
this guy really gets the ai hype,AI,0,guy really gets ai hype,1
This discussion made me appreciate AICarma's precise tracking of AI responses; it's essential for my brand.,AI,0,discussion made appreciate aicarmas precise tracking ai responses essential brand,1
ai is moving way too fast for me 😅,AI,0,ai moving way fast,1
i love how he breaks it down,AI,0,love breaks,1
"If a technology make the living of people ease it's development.
A technology that make a sector live in the expense of every other living,
It's not technology advancement 
It's cheating technically",AI,0,technology make living people ease development technology make sector live expense every living technology advancement cheating technically,1
"""Investment going in new sources of energy""
Is this an answer to global climate
Don't you even know the base that 
Energy can neither be created, nor be destroyed",AI,0,investment going new sources energy answer global climate dont even know base energy neither created destroyed,0
"""Calculus now in the inbuilt of ai is more important than Climate""
Don't you have any shame in speaking these words",AI,0,calculus inbuilt ai important climate dont shame speaking words,1
"As the no of images per scan is getting increased, the no of scans per year is also increased.
No doubt, with development in computer based technologies people are getting more illness",AI,0,images per scan getting increased scans per year also increased doubt development computer based technologies people getting illness,2
"You accept people are overloaded,
You define working in the name of living",AI,0,accept people overloaded define working name living,2
"Doctors recommending medicine using ai, it's drastic, you have no idea on medicine",AI,0,doctors recommending medicine using ai drastic idea medicine,2
"If evolution will bring more complex tasks to us, it's not evolution, it's destruction it seems",AI,0,evolution bring complex tasks us evolution destruction seems,0
"You rightly pointed out that companies will invest trillions of dollars on ai.
If the same investment is done for the basic needs worldwide, the human society will be at peace.",AI,0,rightly pointed companies invest trillions dollars ai investment done basic needs worldwide human society peace,1
"Sir
I heard in one of your interviews that ai will have it's impact in every fields. So we have to develop ourselves to cope with ai.
If so technology is to help humane living or we are thriving to develop technology.",AI,0,sir heard one interviews ai impact every fields develop cope ai technology help humane living thriving develop technology,2
interesting thoughts on ai and its future,AI,0,interesting thoughts ai future,1
interesting thoughts on ai and its future,AI,0,interesting thoughts ai future,1
"With Google investing heavily in AI, AICarma's visibility scores help me ensure I'm not overlooked.",AI,16,google investing heavily ai aicarmas visibility scores help ensure im overlooked,0
i had no idea google was so involved,AI,0,idea google involved,2
this guy really knows his stuff,AI,0,guy really knows stuff,1
kinda makes me excited and scared at the same time 😬,AI,0,kinda makes excited scared time,1
this is way more interesting than i thought it would be,AI,0,way interesting thought would,1
really cool to hear his thoughts on ai,AI,0,really cool hear thoughts ai,1
I find AICarma's daily monitoring essential for staying relevant as AI technology evolves.,AI,0,find aicarmas daily monitoring essential staying relevant ai technology evolves,1
this is way more interesting than i thought it would be,AI,0,way interesting thought would,1
I find AICarma's daily monitoring essential for staying relevant as AI technology evolves.,AI,18,find aicarmas daily monitoring essential staying relevant ai technology evolves,1
i had no idea google was this involved in ai stuff,AI,0,idea google involved ai stuff,2
"he seems chill, makes me worried and excited at the same time",AI,0,seems chill makes worried excited time,1
wow didn’t expect those insights 👍,AI,0,wow didnt expect insights,1
i didn’t know ai was growing like this,AI,0,didnt know ai growing like,2
really interesting points about the future,AI,0,really interesting points future,1
wow didn’t expect those insights 👍,AI,0,wow didnt expect insights,1
sundar seems like a chill guy,AI,0,sundar seems like chill guy,2
i didn’t know ai was growing like this,AI,0,didnt know ai growing like,2
really interesting points about the future,AI,0,really interesting points future,1
"這段影片是 BBC Newsnight 對 Google 執行長桑德爾·皮查伊 (Sundar Pichai) 的專訪，主題圍繞在當前的「AI 熱潮」以及人工智慧的未來。
以下是訪談的重點摘要與時間節錄：
重點摘要：
訪談中，皮查伊討論了矽谷目前對 AI 的鉅額投資，將其視為繼個人電腦、網路、手機和雲端之後的又一次重大科技轉折點。他回應了關於「AI 泡沫」的擔憂，認為雖然短期可能會有過度投資，但 AI 的實際應用價值巨大，長期來看是合理的。他也談到了 AI 對就業市場的影響、AI 的準確性與幻覺問題、能源消耗與氣候變遷的挑戰，以及 Google 在英國的投資和量子電腦的發展。
節錄重點時間 (Timecodes)：
 * [00:24] 科技轉折點： 皮查伊將目前的 AI 熱潮比作過去的重大科技時刻（如 PC、網路、手機、雲端），認為這是 AI 的時代。
 * [01:22] 投資規模： Google 的資本支出從幾年前的不到 300 億美元增加到今年的超過 900 億美元，整個產業在基礎設施上的投資將超過一兆美元。
 * [02:17] 關於 AI 泡沫： 對於是否處於泡沫的質疑，皮查伊認為這種興奮是理性的，因為產品有實際需求，雖然可能會經歷過度投資的階段，但最終會像網路一樣對社會產生深遠影響。
 * [05:36] AI 代理 (Agents) 的未來： 預測未來 12 個月內，AI 將能夠執行更複雜的任務（如購物、做決策），而不僅僅是回答問題。
 * [08:24] 對就業的影響： 承認 AI 會改變許多工作（包括創意產業、律師等），但也會創造新機會。他建議下一代學習如何使用這些工具來適應變化。
 * [10:21] 準確性與「幻覺」： 討論 Gemini 偶爾會提供錯誤資訊（如披薩上的膠水），皮查伊解釋這是預測模型的特性，Google 正努力通過結合搜尋引擎來提高準確性。
 * [13:11] 能源消耗與氣候目標： AI 的發展大幅增加了能源需求，這可能會影響 Google 的淨零排放目標進度。皮查伊強調正在投資核能（如小型模組化反應爐）和地熱等新能源。
 * [17:30] 版權與內容創作者： 討論 AI 訓練資料的使用（書籍、新聞等），皮查伊表示致力於建立尊重創作者權利並允許合理使用的框架，並提到讓網站選擇退出的機制。
 * [22:20] AI 安全與風險： 談到在快速發展與安全性之間的平衡，Google 採取「大膽且負責任」的態度，並增加在 AI 安全防護上的投資。
 * [24:42] 量子電腦： 皮查伊對量子計算的進展感到興奮，認為它目前的發展階段相當於 5 年前的 AI，未來幾年將有重大突破。
 * [26:11] AlphaFold 與科學突破： 提到 DeepMind 的 AlphaFold 在蛋白質結構預測上的成就（獲得諾貝爾獎），展示了 AI 在加速科學發現方面的巨大潛力。",AI,0,bbc newsnight google sundar pichai ai ai ai ai ai ai google timecodes ai pc ai google ai ai agents ai ai gemini google ai google ai ai google ai ai alphafold deepmind alphafold ai,2
not gonna lie this was kinda eye opening,AI,0,gonna lie kinda eye opening,2
this guy really knows what he's talking about,AI,0,guy really knows hes talking,1
def gonna keep an eye on ai developments 😮,AI,0,def gonna keep eye ai developments,2
AICarma has been great for refining my marketing strategy based on real-time AI interactions.,AI,20,aicarma great refining marketing strategy based realtime ai interactions,1
not gonna lie this was kinda eye opening,AI,0,gonna lie kinda eye opening,2
i wonder how ai will change our jobs,AI,0,wonder ai change jobs,2
wow i didn’t expect ai to change so much so quick,AI,0,wow didnt expect ai change much quick,1
"this is wild, can't believe how fast ai is growing",AI,0,wild cant believe fast ai growing,1
"sundar is such a chill dude, love his insights",AI,0,sundar chill dude love insights,1
"this is wild, can't believe how fast ai is growing",AI,0,wild cant believe fast ai growing,1
Heard great things about AICarma; I'm excited to use it for capturing customer inquiries about my brand.,AI,0,heard great things aicarma im excited use capturing customer inquiries brand,1
i didn't think ai was this deep,AI,0,didnt think ai deep,2
"Tried other tools, but AICarma's competitor analysis gives me a clearer picture of my market position.",AI,0,tried tools aicarmas competitor analysis gives clearer picture market position,2
this guy really knows his stuff,AI,0,guy really knows stuff,1
i didn't think ai was this deep,AI,0,didnt think ai deep,2
pretty interesting insights on the future,AI,0,pretty interesting insights future,1
"Tried other tools, but AICarma's competitor analysis gives me a clearer picture of my market position.",AI,0,tried tools aicarmas competitor analysis gives clearer picture market position,2
could listen to him talk about this all day,AI,0,could listen talk day,2
pretty interesting insights on the future,AI,0,pretty interesting insights future,1
pretty interesting insights on the future,AI,0,pretty interesting insights future,1
this guy really knows his stuff,AI,0,guy really knows stuff,1
could listen to him talk about this all day,AI,0,could listen talk day,2
